REGIAO,BAIRRO,CASOS,ANO
Norte,Terras de Santa Elisa,0,2026
Norte,Vida Nova Araras,0,2026
Norte,Vila Europa,0,2026
Norte,Vila Santo Antonio,0,2026
Oeste,Distrito Industrial III,0,2026
Oeste,Chácara Araruna,0,2026
Oeste,Jardim Cândida,0,2026
Oeste,Jardim Eucalipto,0,2026
Oeste,Jardim Novo Cândida,0,2026
Oeste,Jardim São Nicolau,0,2026
Oeste,Jardim Sobradinho,0,2026
Oeste,Jd. Cambuí,0,2026
Oeste,Jd. Filtro,0,2026
Oeste,Jd. Maria Lúcia,0,2026
Oeste,Jd. Rosana,0,2026
Oeste,Chacara zago,0,2026
Oeste,Vista Alegre,0,2026
Oeste,Laranjeiras,0,2026
Oeste,Nova Olinda,0,2026
Oeste,Pq. Santa Cândida,0,2026
Oeste,Residencial Lagoa,0,2026
Rural,Caio Prado,0,2026
Rural,Cascata,0,2026
Rural,Chácara Franzini,0,2026
Rural,Chácara São Francisco,0,2026
Rural,Condominio Santa Inês,0,2026
Rural,Elihiu Root/Grevilhas,0,2026
Rural,Fazenda Colorado,0,2026
Rural,Santa Mônica,0,2026
Rural,Marimbondo,0,2026
Rural,Outros,0,2026
Rural,Residencial Santa Monica,0,2026
Rural,Usina Santa Lucia,0,2026
Rural,Usina São João,0,2026
Sudeste,Ch. Recreio Independência,0,2026
Sudeste,Francisco Buzolin,0,2026
Sudeste,Jardim Araras 3,0,2026
Sudeste,Jardim Celina,0,2026
Sudeste,Jardim das Nações,0,2026
Sudeste,Jardim Dom Bosco,0,2026
Sudeste,Jardim Ouro Verde,1,2026
Sudeste,Jardim Paulista,0,2026
Sudeste,Jardim Santa Olivia,0,2026
Sudeste,Jardim Tangará,0,2026
Sudeste,Jd. das Araras,0,2026
Sudeste,Olivia Park,0,2026
Sudeste,Portal do Lago,0,2026
Sudeste,Portal do Parque,0,2026
Sudeste,Terras  de Carolina,0,2026
Sudeste,Terras de Santa Olivia,0,2026
Sudeste,Vila Lobos,0,2026
Sudoeste,Bom Jesus,0,2026
Sudoeste,Jardim 8 de Abril,0,2026
Sudoeste,Jardim Abolição,1,2026
Sudoeste,Jardim Belvedere,1,2026
Sudoeste,Jardim Santa Cruz,0,2026
Sudoeste,Jardim Ypes,0,2026
Sudoeste,Jd. Universitário,0,2026
Sudoeste,Jd.São Luiz,0,2026
Sudoeste,Nova Araras,0,2026
Sudoeste,Santo André ,0,2026
Sul,Bosque de Versalles,0,2026
Sul,Bosque dos Ypes,0,2026
Sul,Jardim Bela Vista,0,2026
Sul,Jardim Copacabana,0,2026
Sul,Jardim Dalla Costa,0,2026
Sul,Jardim Santa Catarina,0,2026
Sul,Jd. Esplanada,0,2026
Sul,Jd. Flamboyant,0,2026
Sul,Jd. Geny Mercateli,0,2026
Sul,Jd. Maria Rosa,0,2026
Sul,Jd. Planalto,0,2026
Sul,Marabá,0,2026
Sul,Narciso Gomes,0,2026
Sul,Parque Industrial,1,2026
Sul,Terra Nobre,0,2026
Sul,Vila Dona Rosa,0,2026
Sul,Vila São Jorge,0,2026
Sul,XV de agosto,1,2026
Outros,Não localizado,0,2026
